Search_method Problem Max_evals Run Score
hill_climber knapPI_13_20_1000_4 10000 18 889
hill_climber knapPI_13_20_1000_4 10000 19 889
hill_climber knapPI_13_20_1000_4 10000 20 889
hill_climber knapPI_13_20_1000_4 10000 21 907
hill_climber knapPI_13_20_1000_4 10000 22 889
hill_climber knapPI_13_20_1000_4 10000 23 907
hill_climber knapPI_13_20_1000_4 10000 24 889
hill_climber knapPI_13_20_1000_4 10000 25 889
hill_climber knapPI_13_20_1000_4 10000 26 889
hill_climber knapPI_13_20_1000_4 10000 27 907
hill_climber knapPI_13_20_1000_4 10000 28 907
hill_climber knapPI_13_20_1000_4 10000 29 907
hill_climber knapPI_13_20_1000_4 10000 30 889
hill_climber knapPI_13_20_1000_4 10000 31 889
hill_climber knapPI_13_20_1000_4 10000 32 889
hill_climber knapPI_13_20_1000_4 10000 33 889
hill_climber knapPI_13_20_1000_4 10000 34 889
hill_climber knapPI_13_20_1000_4 10000 35 907
hill_climber knapPI_13_20_1000_4 10000 36 889
hill_climber knapPI_13_20_1000_4 10000 37 890
hill_climber knapPI_13_20_1000_4 10000 38 889
hill_climber knapPI_13_20_1000_4 10000 39 907
hill_climber knapPI_13_20_1000_4 10000 40 907
hill_climber knapPI_13_20_1000_4 10000 41 889
hill_climber knapPI_13_20_1000_4 10000 42 881
hill_climber knapPI_13_20_1000_4 10000 43 889
hill_climber knapPI_13_20_1000_4 10000 44 907
hill_climber knapPI_13_20_1000_4 10000 45 907
hill_climber knapPI_13_20_1000_4 10000 46 889
hill_climber knapPI_13_20_1000_4 10000 47 889
hill_climber knapPI_13_20_1000_4 10000 48 889
hill_climber knapPI_13_20_1000_4 10000 49 907
hill_climber knapPI_13_20_1000_4 10000 50 907
hill_climber knapPI_13_20_1000_4 10000 51 907
hill_climber knapPI_13_20_1000_4 10000 52 907
hill_climber knapPI_13_20_1000_4 10000 53 907
hill_climber knapPI_13_20_1000_4 10000 54 890
hill_climber knapPI_13_20_1000_4 10000 55 889
hill_climber knapPI_13_20_1000_4 10000 56 907
hill_climber knapPI_13_20_1000_4 10000 57 890
hill_climber knapPI_13_20_1000_4 10000 58 889
hill_climber knapPI_13_20_1000_4 10000 59 889
hill_climber knapPI_13_20_1000_4 10000 60 889
hill_climber knapPI_13_20_1000_4 10000 61 890
hill_climber knapPI_13_20_1000_4 10000 62 907
hill_climber knapPI_13_20_1000_4 10000 63 889
hill_climber knapPI_13_20_1000_4 10000 64 889
hill_climber knapPI_13_20_1000_4 10000 65 907
hill_climber knapPI_13_20_1000_4 10000 66 907
hill_climber knapPI_13_20_1000_4 10000 67 890
hill_climber knapPI_13_20_1000_4 10000 68 889
hill_climber knapPI_13_20_1000_4 10000 69 889
hill_climber knapPI_13_20_1000_4 10000 70 907
hill_climber knapPI_13_20_1000_4 10000 71 889
hill_climber knapPI_13_20_1000_4 10000 72 907
hill_climber knapPI_13_20_1000_4 10000 73 907
hill_climber knapPI_13_20_1000_4 10000 74 889
hill_climber knapPI_13_20_1000_4 10000 75 889
hill_climber knapPI_13_20_1000_4 10000 76 889
hill_climber knapPI_13_20_1000_4 10000 77 907
hill_climber knapPI_13_20_1000_4 10000 78 907
hill_climber knapPI_13_20_1000_4 10000 79 890
hill_climber knapPI_13_20_1000_4 10000 80 907
hill_climber knapPI_13_20_1000_4 10000 81 889
hill_climber knapPI_13_20_1000_4 10000 82 881
hill_climber knapPI_13_20_1000_4 10000 83 907
hill_climber knapPI_13_20_1000_4 10000 84 890
hill_climber knapPI_13_20_1000_4 10000 85 889
hill_climber knapPI_13_20_1000_4 10000 86 889
hill_climber knapPI_13_20_1000_4 10000 87 907
hill_climber knapPI_13_20_1000_4 10000 88 889
hill_climber knapPI_13_20_1000_4 10000 89 889
hill_climber knapPI_13_20_1000_4 10000 90 889
hill_climber knapPI_13_20_1000_4 10000 91 907
hill_climber knapPI_13_20_1000_4 10000 92 889
hill_climber knapPI_13_20_1000_4 10000 93 907
hill_climber knapPI_13_20_1000_4 10000 94 872
hill_climber knapPI_13_20_1000_4 10000 95 889
hill_climber knapPI_13_20_1000_4 10000 96 889
hill_climber knapPI_13_20_1000_4 10000 97 881
hill_climber knapPI_13_20_1000_4 10000 98 907
hill_climber knapPI_13_20_1000_4 10000 99 889
hill_climber knapPI_16_20_1000_4 10000 0 2893
hill_climber knapPI_16_20_1000_4 10000 1 2893
hill_climber knapPI_16_20_1000_4 10000 2 2893
hill_climber knapPI_16_20_1000_4 10000 3 2593
hill_climber knapPI_16_20_1000_4 10000 4 2893
hill_climber knapPI_16_20_1000_4 10000 5 2893
hill_climber knapPI_16_20_1000_4 10000 6 2893
hill_climber knapPI_16_20_1000_4 10000 7 2651
hill_climber knapPI_16_20_1000_4 10000 8 2893
hill_climber knapPI_16_20_1000_4 10000 9 2449
hill_climber knapPI_16_20_1000_4 10000 10 2893
hill_climber knapPI_16_20_1000_4 10000 11 2893
hill_climber knapPI_16_20_1000_4 10000 12 2893
hill_climber knapPI_16_20_1000_4 10000 13 2557
hill_climber knapPI_16_20_1000_4 10000 14 2593
hill_climber knapPI_16_20_1000_4 10000 15 2893
hill_climber knapPI_16_20_1000_4 10000 16 2893
hill_climber knapPI_16_20_1000_4 10000 17 2893
hill_climber knapPI_16_20_1000_4 10000 18 2893
hill_climber knapPI_16_20_1000_4 10000 19 2893
hill_climber knapPI_16_20_1000_4 10000 20 2893
hill_climber knapPI_16_20_1000_4 10000 21 2557
hill_climber knapPI_16_20_1000_4 10000 22 2593
hill_climber knapPI_16_20_1000_4 10000 23 2893
hill_climber knapPI_16_20_1000_4 10000 24 2893
hill_climber knapPI_16_20_1000_4 10000 25 2557
hill_climber knapPI_16_20_1000_4 10000 26 2893
hill_climber knapPI_16_20_1000_4 10000 27 2893
hill_climber knapPI_16_20_1000_4 10000 28 2893
hill_climber knapPI_16_20_1000_4 10000 29 2893
hill_climber knapPI_16_20_1000_4 10000 30 2893
hill_climber knapPI_16_20_1000_4 10000 31 2893
hill_climber knapPI_16_20_1000_4 10000 32 2893
hill_climber knapPI_16_20_1000_4 10000 33 2893
hill_climber knapPI_16_20_1000_4 10000 34 2557
hill_climber knapPI_16_20_1000_4 10000 35 2597
hill_climber knapPI_16_20_1000_4 10000 36 2893
hill_climber knapPI_16_20_1000_4 10000 37 2557
hill_climber knapPI_16_20_1000_4 10000 38 2651
hill_climber knapPI_16_20_1000_4 10000 39 2893
hill_climber knapPI_16_20_1000_4 10000 40 2557
hill_climber knapPI_16_20_1000_4 10000 41 2557
hill_climber knapPI_16_20_1000_4 10000 42 2557
hill_climber knapPI_16_20_1000_4 10000 43 2893
hill_climber knapPI_16_20_1000_4 10000 44 2651
hill_climber knapPI_16_20_1000_4 10000 45 2557
hill_climber knapPI_16_20_1000_4 10000 46 2593
